"exercise_name";"type_of_activity";"type_of_equipment";"body_part";"type";"muscle_groups_activated";"instructions"
"Side Plank";"Warm-up";"None";"Full Body";"Static";"Abs, Lats, Glutes, Traps, Lower Back";"Hold the position steadily, ensuring your Abs, Lats, Glutes, Traps, Lower Back remain activated without losing alignment."
"Russian Twists";"Warm-up";"Dumbbells";"Core";"Pull";"Hip Flexors, Lower Back";"Pull the dumbbells towards you using your Hip Flexors, Lower Back, and return to the starting position with control."
"Pull-Ups";"Warm-up";"Kettlebells";"Upper Body";"Hold";"Shoulders, Forearms";"Maintain a stable position, keeping your Shoulders, Forearms engaged throughout the duration."
"Bench Press";"Cardio";"None";"Core";"Static";"Glutes, Abs, Traps, Biceps";"Hold the position steadily, ensuring your Glutes, Abs, Traps, Biceps remain activated without losing alignment."
"Jumping Jacks";"Strength";"Cable Machine";"Core";"Static";"Quadriceps, Traps";"Hold the position steadily, ensuring your Quadriceps, Traps remain activated without losing alignment."
"Push-Ups";"Mobility";"Cable Machine";"Lower Body";"Push";"Forearms, Biceps, Triceps, Abs";"Perform the movement by engaging your Forearms, Biceps, Triceps, Abs and keeping proper form. Avoid overextending."
"Tricep Dips";"Strength";"Cable Machine";"Full Body";"Push";"Lower Back, Chest";"Perform the movement by engaging your Lower Back, Chest and keeping proper form. Avoid overextending."
"Pull-Ups";"Strength";"Resistance Band";"Full Body";"Static";"Lats, Glutes, Abs, Quadriceps, Lower Back";"Hold the position steadily, ensuring your Lats, Glutes, Abs, Quadriceps, Lower Back remain activated without losing alignment."
"Jumping Jacks";"Strength";"Pull-Up Bar";"Upper Body";"Push";"Hamstrings, Abs";"Perform the movement by engaging your Hamstrings, Abs and keeping proper form. Avoid overextending."
"Lunges";"Cardio";"Pull-Up Bar";"Core";"Push";"Lower Back, Forearms, Rear Deltoids";"Perform the movement by engaging your Lower Back, Forearms, Rear Deltoids and keeping proper form. Avoid overextending."
"Push-Ups";"Strength";"None";"Core";"Pull";"Quadriceps, Triceps, Forearms, Glutes, Rear Deltoids";"Pull the your body towards you using your Quadriceps, Triceps, Forearms, Glutes, Rear Deltoids, and return to the starting position with control."
"Lunges";"Warm-up";"Dumbbells";"Core";"Push";"Rear Deltoids, Forearms, Traps, Shoulders";"Perform the movement by engaging your Rear Deltoids, Forearms, Traps, Shoulders and keeping proper form. Avoid overextending."
"Deadlifts";"Strength";"Barbell";"Full Body";"Static";"Lower Back, Glutes, Forearms";"Hold the position steadily, ensuring your Lower Back, Glutes, Forearms remain activated without losing alignment."
"Resistance Band Pull";"Mobility";"Bodyweight";"Upper Body";"Hold";"Quadriceps, Hip Flexors, Lower Back, Core";"Maintain a stable position, keeping your Quadriceps, Hip Flexors, Lower Back, Core engaged throughout the duration."
"Resistance Band Pull";"Cardio";"Pull-Up Bar";"Core";"Pull";"Biceps, Abs, Hip Flexors, Rear Deltoids";"Pull the pull-up bar towards you using your Biceps, Abs, Hip Flexors, Rear Deltoids, and return to the starting position with control."
"Bicep Curls";"Cardio";"Bodyweight";"Core";"Hold";"Core, Forearms, Shoulders";"Maintain a stable position, keeping your Core, Forearms, Shoulders engaged throughout the duration."
"Plank";"Mobility";"None";"Full Body";"Push";"Core, Rear Deltoids";"Perform the movement by engaging your Core, Rear Deltoids and keeping proper form. Avoid overextending."
"Russian Twists";"Mobility";"None";"Lower Body";"Pull";"Rear Deltoids, Glutes";"Pull the your body towards you using your Rear Deltoids, Glutes, and return to the starting position with control."
"Lunges";"Warm-up";"Cable Machine";"Lower Body";"Static";"Core, Hip Flexors, Quadriceps, Glutes";"Hold the position steadily, ensuring your Core, Hip Flexors, Quadriceps, Glutes remain activated without losing alignment."
"Side Plank";"Strength";"Cable Machine";"Core";"Pull";"Biceps, Glutes, Traps, Hip Flexors";"Pull the cable machine towards you using your Biceps, Glutes, Traps, Hip Flexors, and return to the starting position with control."
"Leg Raises";"Warm-up";"Dumbbells";"Upper Body";"Static";"Biceps, Glutes, Hip Flexors";"Hold the position steadily, ensuring your Biceps, Glutes, Hip Flexors remain activated without losing alignment."
"Russian Twists";"Mobility";"Resistance Band";"Lower Body";"Pull";"Glutes, Shoulders, Traps, Chest";"Pull the resistance band towards you using your Glutes, Shoulders, Traps, Chest, and return to the starting position with control."
"Burpees";"Cardio";"Bodyweight";"Core";"Push";"Lower Back, Traps, Core, Chest";"Perform the movement by engaging your Lower Back, Traps, Core, Chest and keeping proper form. Avoid overextending."
"Squats";"Mobility";"Dumbbells";"Core";"Static";"Chest, Biceps";"Hold the position steadily, ensuring your Chest, Biceps remain activated without losing alignment."
"Lunges";"Warm-up";"Dumbbells";"Core";"Hold";"Traps, Triceps, Lower Back, Hip Flexors";"Maintain a stable position, keeping your Traps, Triceps, Lower Back, Hip Flexors engaged throughout the duration."
"Leg Raises";"Warm-up";"None";"Lower Body";"Static";"Lats, Chest, Core, Hamstrings, Hip Flexors";"Hold the position steadily, ensuring your Lats, Chest, Core, Hamstrings, Hip Flexors remain activated without losing alignment."
"Resistance Band Pull";"Cardio";"None";"Upper Body";"Push";"Abs, Shoulders";"Perform the movement by engaging your Abs, Shoulders and keeping proper form. Avoid overextending."
"Plank";"Strength";"Kettlebells";"Core";"Hold";"Hip Flexors, Rear Deltoids, Hamstrings";"Maintain a stable position, keeping your Hip Flexors, Rear Deltoids, Hamstrings engaged throughout the duration."
"Jumping Jacks";"Mobility";"None";"Upper Body";"Pull";"Shoulders, Lats";"Pull the your body towards you using your Shoulders, Lats, and return to the starting position with control."
"Wall Sit";"Mobility";"Barbell";"Lower Body";"Static";"Shoulders, Hip Flexors";"Hold the position steadily, ensuring your Shoulders, Hip Flexors remain activated without losing alignment."
"Push-Ups";"Mobility";"Cable Machine";"Upper Body";"Push";"Biceps, Chest, Triceps";"Perform the movement by engaging your Biceps, Chest, Triceps and keeping proper form. Avoid overextending."
"Jumping Jacks";"Mobility";"Resistance Band";"Core";"Static";"Hamstrings, Forearms";"Hold the position steadily, ensuring your Hamstrings, Forearms remain activated without losing alignment."
"Burpees";"Warm-up";"Pull-Up Bar";"Core";"Static";"Hip Flexors, Forearms, Rear Deltoids, Lower Back, Lats";"Hold the position steadily, ensuring your Hip Flexors, Forearms, Rear Deltoids, Lower Back, Lats remain activated without losing alignment."
"Resistance Band Pull";"Strength";"Kettlebells";"Core";"Static";"Core, Hip Flexors, Lats";"Hold the position steadily, ensuring your Core, Hip Flexors, Lats remain activated without losing alignment."
"Russian Twists";"Strength";"Resistance Band";"Lower Body";"Push";"Quadriceps, Biceps, Hip Flexors, Triceps, Lats";"Perform the movement by engaging your Quadriceps, Biceps, Hip Flexors, Triceps, Lats and keeping proper form. Avoid overextending."
"Side Plank";"Mobility";"None";"Full Body";"Hold";"Biceps, Glutes";"Maintain a stable position, keeping your Biceps, Glutes engaged throughout the duration."
"Burpees";"Cardio";"Resistance Band";"Lower Body";"Hold";"Hip Flexors, Glutes, Traps, Hamstrings";"Maintain a stable position, keeping your Hip Flexors, Glutes, Traps, Hamstrings engaged throughout the duration."
"Bicep Curls";"Cardio";"Barbell";"Core";"Push";"Lats, Shoulders";"Perform the movement by engaging your Lats, Shoulders and keeping proper form. Avoid overextending."
"Mountain Climbers";"Mobility";"Cable Machine";"Upper Body";"Hold";"Triceps, Lats, Core";"Maintain a stable position, keeping your Triceps, Lats, Core engaged throughout the duration."
"Mountain Climbers";"Warm-up";"Medicine Ball";"Core";"Push";"Lower Back, Abs, Quadriceps, Forearms";"Perform the movement by engaging your Lower Back, Abs, Quadriceps, Forearms and keeping proper form. Avoid overextending."
"Leg Raises";"Strength";"Cable Machine";"Core";"Static";"Hamstrings, Traps, Glutes, Lats, Hip Flexors";"Hold the position steadily, ensuring your Hamstrings, Traps, Glutes, Lats, Hip Flexors remain activated without losing alignment."
"Pull-Ups";"Warm-up";"Barbell";"Upper Body";"Pull";"Lats, Hamstrings, Abs, Biceps";"Pull the barbell towards you using your Lats, Hamstrings, Abs, Biceps, and return to the starting position with control."
"Lunges";"Mobility";"None";"Upper Body";"Static";"Hip Flexors, Rear Deltoids, Shoulders";"Hold the position steadily, ensuring your Hip Flexors, Rear Deltoids, Shoulders remain activated without losing alignment."
"Pull-Ups";"Mobility";"Pull-Up Bar";"Core";"Hold";"Traps, Forearms, Lower Back, Chest";"Maintain a stable position, keeping your Traps, Forearms, Lower Back, Chest engaged throughout the duration."
"Resistance Band Pull";"Cardio";"Resistance Band";"Upper Body";"Push";"Traps, Chest, Lats";"Perform the movement by engaging your Traps, Chest, Lats and keeping proper form. Avoid overextending."
"Mountain Climbers";"Cardio";"Barbell";"Core";"Static";"Biceps, Rear Deltoids, Chest";"Hold the position steadily, ensuring your Biceps, Rear Deltoids, Chest remain activated without losing alignment."
"Squats";"Warm-up";"Bodyweight";"Core";"Pull";"Biceps, Hamstrings, Chest, Glutes, Hip Flexors";"Pull the bodyweight towards you using your Biceps, Hamstrings, Chest, Glutes, Hip Flexors, and return to the starting position with control."
"Kettlebell Swings";"Strength";"Bodyweight";"Full Body";"Push";"Traps, Triceps, Lower Back, Lats";"Perform the movement by engaging your Traps, Triceps, Lower Back, Lats and keeping proper form. Avoid overextending."
"Overhead Press";"Cardio";"Bodyweight";"Full Body";"Push";"Quadriceps, Hamstrings";"Perform the movement by engaging your Quadriceps, Hamstrings and keeping proper form. Avoid overextending."
"Bench Press";"Strength";"Bodyweight";"Lower Body";"Push";"Hamstrings, Biceps";"Perform the movement by engaging your Hamstrings, Biceps and keeping proper form. Avoid overextending."
"Russian Twists";"Warm-up";"Cable Machine";"Core";"Hold";"Hamstrings, Triceps";"Maintain a stable position, keeping your Hamstrings, Triceps engaged throughout the duration."
"Plank";"Strength";"Dumbbells";"Upper Body";"Push";"Abs, Quadriceps, Traps";"Perform the movement by engaging your Abs, Quadriceps, Traps and keeping proper form. Avoid overextending."
"Dumbbell Rows";"Strength";"Bodyweight";"Lower Body";"Pull";"Shoulders, Forearms, Glutes, Core";"Pull the bodyweight towards you using your Shoulders, Forearms, Glutes, Core, and return to the starting position with control."
"Jumping Jacks";"Warm-up";"Dumbbells";"Lower Body";"Pull";"Rear Deltoids, Traps, Forearms, Biceps, Quadriceps";"Pull the dumbbells towards you using your Rear Deltoids, Traps, Forearms, Biceps, Quadriceps, and return to the starting position with control."
"Russian Twists";"Warm-up";"Bodyweight";"Lower Body";"Pull";"Abs, Traps, Chest, Quadriceps, Triceps";"Pull the bodyweight towards you using your Abs, Traps, Chest, Quadriceps, Triceps, and return to the starting position with control."
"Tricep Dips";"Warm-up";"Dumbbells";"Lower Body";"Pull";"Core, Glutes, Hip Flexors";"Pull the dumbbells towards you using your Core, Glutes, Hip Flexors, and return to the starting position with control."
"Kettlebell Swings";"Cardio";"Resistance Band";"Upper Body";"Hold";"Abs, Rear Deltoids, Core";"Maintain a stable position, keeping your Abs, Rear Deltoids, Core engaged throughout the duration."
"Bench Press";"Strength";"Medicine Ball";"Lower Body";"Static";"Hamstrings, Quadriceps, Shoulders, Triceps";"Hold the position steadily, ensuring your Hamstrings, Quadriceps, Shoulders, Triceps remain activated without losing alignment."
"Jumping Jacks";"Warm-up";"Cable Machine";"Upper Body";"Hold";"Hamstrings, Traps";"Maintain a stable position, keeping your Hamstrings, Traps engaged throughout the duration."
"Side Plank";"Strength";"Cable Machine";"Upper Body";"Static";"Core, Hamstrings, Quadriceps, Rear Deltoids";"Hold the position steadily, ensuring your Core, Hamstrings, Quadriceps, Rear Deltoids remain activated without losing alignment."
"Lunges";"Warm-up";"Pull-Up Bar";"Upper Body";"Static";"Traps, Shoulders, Abs, Lower Back, Core";"Hold the position steadily, ensuring your Traps, Shoulders, Abs, Lower Back, Core remain activated without losing alignment."
"Wall Sit";"Strength";"Cable Machine";"Full Body";"Hold";"Glutes, Chest, Traps, Lower Back";"Maintain a stable position, keeping your Glutes, Chest, Traps, Lower Back engaged throughout the duration."
"Burpees";"Strength";"Bodyweight";"Core";"Pull";"Lower Back, Traps, Shoulders";"Pull the bodyweight towards you using your Lower Back, Traps, Shoulders, and return to the starting position with control."
"Jumping Jacks";"Warm-up";"Medicine Ball";"Core";"Static";"Hamstrings, Lower Back, Shoulders, Traps, Forearms";"Hold the position steadily, ensuring your Hamstrings, Lower Back, Shoulders, Traps, Forearms remain activated without losing alignment."
"Wall Sit";"Strength";"Dumbbells";"Upper Body";"Pull";"Chest, Lats, Abs";"Pull the dumbbells towards you using your Chest, Lats, Abs, and return to the starting position with control."
"Russian Twists";"Strength";"Kettlebells";"Full Body";"Push";"Hamstrings, Lats, Rear Deltoids, Lower Back";"Perform the movement by engaging your Hamstrings, Lats, Rear Deltoids, Lower Back and keeping proper form. Avoid overextending."
"Leg Raises";"Cardio";"Resistance Band";"Core";"Push";"Triceps, Rear Deltoids, Biceps, Hip Flexors";"Perform the movement by engaging your Triceps, Rear Deltoids, Biceps, Hip Flexors and keeping proper form. Avoid overextending."
"Push-Ups";"Cardio";"Cable Machine";"Core";"Hold";"Shoulders, Triceps, Abs";"Maintain a stable position, keeping your Shoulders, Triceps, Abs engaged throughout the duration."
"Squats";"Strength";"Pull-Up Bar";"Core";"Hold";"Hip Flexors, Traps, Triceps, Forearms, Lower Back";"Maintain a stable position, keeping your Hip Flexors, Traps, Triceps, Forearms, Lower Back engaged throughout the duration."
"Jumping Jacks";"Warm-up";"Cable Machine";"Core";"Push";"Core, Triceps, Forearms, Chest, Quadriceps";"Perform the movement by engaging your Core, Triceps, Forearms, Chest, Quadriceps and keeping proper form. Avoid overextending."
"Bench Press";"Cardio";"Kettlebells";"Lower Body";"Pull";"Traps, Forearms, Rear Deltoids, Lats";"Pull the kettlebells towards you using your Traps, Forearms, Rear Deltoids, Lats, and return to the starting position with control."
"Dumbbell Rows";"Mobility";"Medicine Ball";"Full Body";"Push";"Lower Back, Abs, Core, Traps, Shoulders";"Perform the movement by engaging your Lower Back, Abs, Core, Traps, Shoulders and keeping proper form. Avoid overextending."
"Mountain Climbers";"Strength";"Barbell";"Lower Body";"Hold";"Quadriceps, Hamstrings, Chest";"Maintain a stable position, keeping your Quadriceps, Hamstrings, Chest engaged throughout the duration."
"Deadlifts";"Warm-up";"Cable Machine";"Full Body";"Push";"Chest, Quadriceps, Biceps, Forearms";"Perform the movement by engaging your Chest, Quadriceps, Biceps, Forearms and keeping proper form. Avoid overextending."
"Plank";"Cardio";"Resistance Band";"Core";"Hold";"Hamstrings, Lats, Glutes";"Maintain a stable position, keeping your Hamstrings, Lats, Glutes engaged throughout the duration."
